1980,1990,2000,2010,origin
667877,3579,13976,9585,NAM
0,416,21463,62867,NPL
0,419,472,460,NLD
0,0,0,0,NCL
0,0,51,168,NZL
453975,316539,27530,11917,NIC
0,90718,7145,7844,NER
33,18999,163779,809169,NGA
0,15,53,71,NOR
0,55,271,347,OMN
691,41592,250906,1042579,PAK
0,0,2,6,PLW
118315,741009,3049251,771046,PSE
412,3672,660,641,PAN
0,5045,274,2034,PNG
0,267,556,691,PRY
32,41242,63430,34434,PER
920000,93377,142653,5762,PHL
54076,154141,87178,11522,POL
0,513,402,206,PRT
0,36,0,0,PRI
0,147,296,449,QAT
0,294,5377,3475,KOR
0,17124,79750,29973,MDA
76296,206706,69835,18551,ROU
189726,1761683,949771,668547,RUS
3319398,6458525,893726,1314488,RWA
0,0,47,189,KNA
0,21,1171,5965,LCA
0,100,3393,11117,VCT
0,4,11,7,WSM
0,10,16,9,SMR
50,234,325,228,STP
0,1645,3537,6250,SAU
15011,222541,120440,166553,SEN
1311,835420,2063441,708959,SRB
112,1342,420,210,SYC
17,2962764,999195,49802,SLE
11,109,603,474,SGP
0,486,4831,3341,SVK
0,69497,8157,209,SVN
0,170,482,536,SLB
778400,6172280,4696151,8333960,SOM
290186,47241,3212,3422,ZAF
0,0,0,5472996,
847,624,2883,381,ESP
11776,1323175,1259412,1010050,LKA
200404,259090,122577,242313,
1585609,3947660,5520491,4743387,SDN
6601,20030,1048,148,SUR
0,124,193,1084,SWZ
0,186,253,148,SWE
0,291,367,113,CHE
6996,62161,147460,23829467,SYR
0,531113,352424,6323,TJK
2,1638,9661,2094,THA
0,44943,73630,31697,MKD
0,162472,224211,98,TLS
27,592194,176319,96684,TGO
0,10,56,154,TON
0,119,1052,2566,TTO
51,4116,23286,13982,TUN
7540,299282,1628128,731233,TUR
0,8785,6732,4362,TKM
0,0,4,103,TCA
0,15,22,10,TUV
1980730,330511,272609,52014,UGA
0,32075,541910,1018588,UKR
0,18,1428,2017,ARE
0,540,1530,1036,GBR
6820,552,9913,7371,TZA
0,952,10342,26434,USA
1620,3061,1155,937,URY
0,265283,64712,54266,UZB
0,0,0,8,VUT
18064376,18913864,4185588,1114423,Stateless
0,3278,26857,63128,VEN
3515130,4957681,3538500,2617541,VNM
1537190,1655755,1359928,932220,Various
339012,7502,16931,69901,YEM
4812,3869,1428,2118,ZMB
19250,393,98822,170354,ZWE
