Asylum Country	Latitude (generated)	Longitude (generated)	Refugees
Romania	45.933	25.119	48585
Rep. of Moldova	47.524	28.444	3565
Rep. of Korea	36.338	128.16	10605
Qatar	25.168	51.17	2581
Portugal	40.957	-7.9373	66698
Poland	52.442	19.72	183647
Philippines	17.181	121.256	244776
Peru	-12.664	-72.98	43478
Paraguay	-23.266	-58.409	8379
Papua New Guinea	-5.636	142.798	303183
Panama	8.348	-81.005	215306
Palau	7.473	134.549	16
Pakistan	28.1854	66.6429	72520890
Oman	19.85	56.25	1519
Norway	61.3701	9.3031	1339316
Nigeria	9.3417	7.678	405182
Niger	16.996	9.915	749863
Nicaragua	12.692	-85.03	210046
New Zealand	-42.558	172.377	213488
Netherlands	52.1704	5.0102	2789272
Nepal	28.2114	83.5608	2805202
Nauru	-0.519	166.932	2345
Namibia	-21.276	17.219	190372
Myanmar	21.841	96.05	0
Mozambique	-13.852	38.042	381641
Morocco	31.129	-7.355	41703
Montserrat	16.721	-62.185	
Montenegro	42.857	19.096	123122
Mongolia	46.516	102.564	81
Monaco	43.733	7.416	230
Micronesia (Federated States of)	7.531	150.457	13
Mexico	22.925	-101.68	3391062
Mauritius	-20.323	57.518	57
Mauritania	19.413	-10.6528	958430
Malta	35.884	14.446	83692
Mali	18.211	-2.209	365900
Malaysia	4.416	102.099	2705907
Malawi	-13.258	33.723	5826201
Madagascar	-19.615	46.645	298
Luxembourg	49.671	6.113	43088
Lithuania	55.342	24.23	13122
Liechtenstein	47.105	9.556	2482
Libya	27.24	17.571	244756
Liberia	6.51	-9.33	1602447
Lesotho	-29.446	28.371	96515
Lebanon	34.161	36.021	6911015
Latvia	57.017	25.0173	2020
Lao People's Dem. Rep.			20352
Kyrgyzstan	41.741	75.043	170191
Kuwait	29.396	47.326	283179
Kenya	0.806	38.166	9025628
Kazakhstan	48.866	69.772	205688
Jordan	30.681	36.279	6507302
Japan	35.962	137.855	149072
Jamaica	18.163	-77.477	556
Italy	44.3713	11.1084	1651466
Israel	30.992	34.834	341462
Ireland	53.214	-7.588	130567
Iraq	33.545	43.278	3397893
Iran (Islamic Rep. of)	33.408	54.0418	67924697
Indonesia	-0.739	114.045	545694
India	22.741	78.236	5517139
Iceland	64.826	-18.417	4857
Hungary	47.174	19.618	320919
Honduras	14.881	-87.123	1294537
Haiti	19.3175	-72.4205	18
Guyana	5.17	-58.939	73
Guinea-Bissau	12.191	-14.475	271342
Guinea	10.599	-10.907	6583231
Guatemala	15.124	-90.711	1487968
Grenada	12.107	-61.681	5
Greece	39.787	21.617	290862
Ghana	7.258	-1.062	894580
Germany	51.3819	9.9877	26762585
Georgia	42.05	43.576	47923
Gambia	13.499	-14.641	237463
Gabon	-0.406	11.914	417922
French Guiana	3.96	-53.047	20793
France	46.656	2.543	7218371
Finland	62.716	26.192	302246
Fiji	-17.8226	177.948	83
Ethiopia	8.435	38.786	11821366
Estonia	58.777	25.977	1306
Eritrea	15.982	38.02	78150
El Salvador	13.848	-89.229	104576
Egypt	26.16	28.742	2293850
Ecuador	-1.151	-78.308	1467734
Dominican Rep.	19.01	-70.1685	67725
Djibouti	11.41	42.165	996540
Denmark	56.113	9.096	1359314
Dem. Rep. of the Congo			17221728
Dem. People's Rep. of Korea	39.767	126.389	0
Czech Rep.	49.848	15.2812	62837
Cyprus	34.894	32.928	54646
Curaçao	12.166	-69	201
Cura?ao			54
Cuba	20.571	-76.456	64525
Croatia	45.754	16.385	1439675
Côte d'Ivoire	7.497	-5.336	3562567
Costa Rica	10.126	-84.075	1789484
Congo			1605690
Comoros	-11.755	43.342	35
Colombia	3.794	-73.606	19273
"China, Macao SAR"	22.132	113.558	13992
"China, Hong Kong SAR"	22.436	114.099	286021
China	35.1753	99.3877	11347338
Chile	-23.176	-69.201	50750
Chad	15.981	18.781	5176348
Central African Rep.	7.043	21.424	874291
Cayman Islands	19.331	-81.25	74
Canada	59.2067	-111.1937	5382480
Cameroon	4.4	12.131	3501928
Cambodia	12.69	104.444	2152
Cabo Verde	15.416	-23.36	5
C?te d'Ivoire			1399
Burundi	-3.333	29.749	5101316
Burkina Faso	12.673	-1.226	322954
Bulgaria	42.625	24.521	129202
Brunei Darussalam	4.452	114.557	0
British Virgin Islands	18.439	-64.586	6
Brazil	-11.694	-48.978	358452
Botswana	-22.126	23.662	141956
Bosnia and Herzegovina	44.342	17.804	383884
Bonaire	12.212	-68.294	
Bolivia (Plurinational State of)	-16.71	-65.183	18949
Benin	10.478	2.274	389630
Belize	17.108	-88.744	255645
Belgium	50.6745	4.4588	1030090
Belarus	53.3292	27.9492	76889
Barbados	13.147	-59.557	2
Bangladesh	24.598	90.1963	3944274
Bahrain	26.028	50.55	7362
Bahamas	24.616	-77.989	979
Azerbaijan	40.46	47.883	1883917
Austria	47.65	14.705	1807733
Australia	-24.578	133.582	3818077
Aruba	12.556	-70.024	4
Armenia	40.56	44.449	3909167
Argentina	-33.166	-64.31	434030
Antigua and Barbuda	17.625	-61.786	19
Anguilla	18.245	-63.023	2
Angola	-12.836	17.808	1687541
Algeria	28.6045	2.64	5713128
Albania	40.654	20.076	46942
Afghanistan	34.023	65.5267	886173
