1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,iso3,lat,lon,name,,,,,
152320,153550,148180,151680,169772,182952,176272,176552,182912,199812,210621,186911,190154,191443,191622,223946,184135,871382,389706,350582,428680,519123,502568,527449,568084,553999,574557,531637,485767,438706,396541,375727,281592,94239,84064,101288,73363,72647,72493,292764,408085,439280,BDI,-3.373056,29.918886,Burundi,,,,,
,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,2,2,4,8,9,8,5,40,32,30,24,25,27,25,28,27,28,13,0,CPV,15.1217288,-23.6050817,Cape Verde,,,,,
17200,76710,165120,51100,192843,135077,123398,91115,72468,67518,54848,48589,97758,75725,54364,43168,28851,9753,8538,61225,62244,103246,76576,38320,36855,34759,33456,31407,18115,17806,17965,17704,17253,17025,16314,15205,14024,13747,13071,12803,12429,12213,KHM,12.565679,104.990963,Cambodia,,,,,
,,,,,,,,,,,,,60,100,1,83,173,238,2017,2109,2258,1348,1654,2062,2724,5225,6206,7627,9101,10385,11508,13870,14766,14963,15163,13382,11427,10766,10586,10374,10982,CMR,7.369722,12.354722,Cameroon,,,,,
,,,,,,,,,,,,,,,4,4,4,4,4,8,11,15,18,26,4,51,60,56,122,95,530,101,99,90,109,123,99,95,80,84,75,CAN,56.130366,-106.346771,Canada,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,6,6,7,6,CYM,19.3133,-81.2546,Cayman Islands,,,,,
,,,,,,15000,,,,230,160,170,310,100,320,325,313,266,242,240,149,173,196,139,28704,25376,35400,31067,42890,71685,98104,125106,159554,164905,162862,164568,252867,412041,471105,490892,545498,CAF,6.611111,20.939444,Central African Rep.,,,,,
,,,10000,221000,234260,17010,16744,181346,212158,170078,146858,130790,125864,184806,72319,66381,212932,211971,59727,58445,55025,61298,58797,54962,46294,47349,52275,52655,48400,36300,55722,55105,55014,53733,42640,39694,48640,48258,14940,14193,16295,TCD,15.454166,18.732207,Chad,,,,,
2670,3000,3130,3130,1505,1885,2483,1794,1552,2181,2434,1906,608,1201,14548,14007,14043,15267,15474,14273,12805,9776,7011,1543,860,834,1709,1555,1194,938,805,970,994,1312,1170,1189,1152,596,579,561,498,483,CHL,-35.675147,-71.542969,Chile,,,,,
,,,,24,24,104,24,24,124,154,24,265,413,1426,2011,82576,111509,113907,104693,105810,106738,109402,111952,110975,117409,132115,132406,134722,124101,140598,149095,175180,180558,184602,190369,193453,195133,210802,212912,207772,207691,CHN,35.86166,104.195397,China,,,,,
,,,,,,,,,,,,,,,,2,2,261,205,105,50,42,20,13,7,5,9,8,,10,11,11,12,17,15,19,25,25,33,12,6,HKG,22.396428,114.109497,"China, Hong Kong SAR",,,,,
,,,,,,,,,,,,,,,,,,,,1,1,1,1,6,8,15,15,20,9,9,9,9,9,10,10,1,1,5,5,4,0,MAC,22.198745,113.543873,"China, Macao SAR",,,,,
