1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,iso3,lat,lon,name,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,FSM,6.8874574,158.2150717,Micronesia (Federated States of),,,,,
,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,,,,,,1,2,4,4,3,3,3,3,0,MCO,43.7384176,7.4246158,Monaco,,,,,
,,,,,,,,,,,,,,1,1,1,1,4,4,7,9,19,25,23,60,280,324,442,654,867,1101,1333,1495,1724,1985,2114,2059,2163,2199,2285,2207,MNG,46.862496,103.846656,Mongolia,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,557,1283,2582,3246,3698,4054,546,607,651,718,699,MNE,42.708678,19.37439,Montenegro,,,,,
,,,,,,,1,1,1,1,2,3,6,15,44,91,105,180,301,297,310,353,377,392,363,1269,1291,1318,2920,4710,4039,3533,2286,2284,2312,2407,1308,1539,1786,2262,3064,MAR,31.791702,-7.09262,Morocco,,,,,
580,120,130,370,120,5170,20200,50200,51200,72250,193550,635000,921238,1120758,1247992,1316636,1445474,1172550,234497,125562,34657,33652,59,35,30,46,130,111,104,104,231,222,208,136,131,155,160,56,58,57,50,38,MOZ,-18.665695,35.529562,Mozambique,,,,,
,,160000,,,,,,,,,,7,4,28,40053,245130,281574,204510,152298,143017,135772,133407,131663,137128,145856,148501,151384,161013,164864,202826,191313,184413,406669,415670,414626,415371,479606,479006,451805,490289,1156732,MMR,21.913965,95.956223,Myanmar,,,,,
9020,12930,35760,40580,55620,74520,75170,75112,77552,76916,76966,75726,76591,3704,532,204,15,133,65,13,12,2,1902,701,2308,2297,1302,1293,1314,1226,1202,1128,985,921,1017,1073,1098,1143,1253,1277,1366,1358,NAM,-22.95764,18.49041,Namibia,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,3,,,3,,,3,3,3,,,,,,,0,,,,,,Nauru,,,,,
,,,,,,,,,,,,,,,,1,1,4,27,44,52,101,186,235,306,902,1231,1416,2065,2647,3364,4189,5108,5889,6854,7612,8110,8563,9063,8377,8399,NPL,28.394857,84.124008,Nepal,,,,,
,,,,,,,,,,,,,,,,,,75,85,96,77,57,29,15,4,30,44,48,159,39,43,46,44,53,64,71,64,68,69,37,34,NLD,52.132633,5.291266,Netherlands,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCL,-20.904305,165.618042,New Caledonia,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,4,8,13,10,10,15,18,20,17,17,19,28,34,NZL,-40.900557,174.885971,New Zealand,,,,,
,,144800,16600,960,2500,18970,23520,35020,52650,67550,68540,86565,97700,52618,46789,44275,33052,28591,23938,22820,22494,21389,20573,5071,4399,4050,3983,1821,1463,1828,1900,1537,1478,1431,1468,1531,1538,1587,1476,1419,1467,NIC,12.865416,-85.207229,Nicaragua,,,,,
,,,,,,,,,,,,,,,2,22008,22307,22024,10291,10361,2788,423,514,493,483,834,728,689,655,818,827,796,822,803,819,832,683,739,1390,1235,1343,NER,17.607789,8.081666,Niger,,,,,
,,,,,,,,,1,2,3,13,14,16,23,76,100,592,1939,4754,3059,3999,4441,5742,6084,24572,24428,23890,22128,13253,13904,14169,15609,15642,17141,18021,31176,90947,167989,229311,238942,NGA,9.081999,8.675277,Nigeria,,,,,
,,,,,,,,,,,,,,,,,,2,1,1,3,4,4,4,3,5,6,5,15,4,3,4,4,7,7,9,13,13,12,10,0,NOR,60.472024,8.468946,Norway,,,,,
,,,,,,,,,,,,,,,,,,3,10,10,10,11,11,5,5,19,11,18,12,38,43,56,64,63,60,65,26,29,37,38,29,OMN,21.512583,55.923255,Oman,,,,,
,,,,,,1,1,1,1,1,1,275,410,486,525,1086,1422,4430,5277,7502,5985,6864,8015,10133,12324,23163,24389,25952,29913,25639,31858,32403,35132,39982,35952,49785,48686,335961,297899,105428,128886,PAK,30.375321,69.345116,Pakistan,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,2,2,,PLW,7.51498,134.58252,Palau,,,,,
3200,,,,,,9800,9110,,31642,52704,2004,5014,8041,8521,65177,95343,81474,82564,72768,80215,76821,77524,100602,110640,349161,428782,350568,349831,349673,334142,341237,340016,95201,93323,94150,94918,96044,97212,98018,97796,99585,PSE,31.952162,35.233154,Palestinian,,,,,
,,,,,,,,,,,,47,365,629,640,652,677,486,160,149,122,85,72,67,37,44,30,40,42,75,109,111,105,100,100,107,105,89,69,40,31,PAN,8.537981,-80.782127,Panama,,,,,
,,,,,,,,,,,,,,,,,,,2000,2008,808,220,9,8,8,16,18,18,23,31,36,46,70,89,128,174,221,288,339,399,396,PNG,-6.314993,143.95555,Papua New Guinea,,,,,
,,,,,,,,,,,,,,19,8,9,14,63,51,44,20,21,18,19,8,31,32,37,44,105,102,101,77,86,91,101,95,94,91,71,62,PRY,-23.442503,-58.443832,Paraguay,,,,,
,,,,,,,,,,,,4,28,256,475,727,1970,4332,5904,6696,6610,7066,7206,6944,6502,6430,5581,4769,4865,6986,7743,7339,6271,5834,5491,5212,4768,4343,3599,2609,2578,PER,-9.189967,-75.015152,Peru,,,,,
,90000,92000,90000,90000,90000,90000,100000,100000,90000,90000,90000,90000,90000,10,15,46,113,436,516,598,525,45598,45520,45482,45467,45608,412,434,465,886,1552,1354,993,970,952,986,724,670,593,434,433,PHL,12.879721,121.774017,Philippines,,,,,
50,,50,,471,505,775,761,994,1655,1102,1475,23266,23072,25632,21643,14518,13390,35938,19732,12869,7294,1880,1245,865,3191,16712,15211,10680,19641,13513,2915,2391,2059,1764,1815,1640,1429,1310,1297,1159,1108,POL,51.919438,19.145136,Poland,,,,,
,,,,,,,,,,,,,,,,,,25,25,217,213,18,15,23,17,62,55,47,74,25,32,36,31,30,28,32,32,31,28,19,6,PRT,39.399872,-8.224454,Portugal,,,,,
,,,,,,,,,,,,,,,,,,12,12,12,,,,,,,,,,,,,,,,,,,,,0,PRI,18.220833,-66.590149,Puerto Rico,,,,,
,,,,,,,,,,,,,,,,,,49,30,18,19,23,8,1,,8,13,10,11,52,62,71,68,112,95,124,17,21,20,29,31,QAT,25.354826,51.183884,Qatar,,,,,
,,,,,,,,,,,,,,,5,5,7,17,30,42,48,65,75,73,83,245,237,272,268,1334,1188,1104,573,585,514,558,500,481,353,250,234,KOR,35.907757,127.766922,Rep. of Korea,,,,,
,,,,,,,,,,,,,,,,,6,458,529,5829,5141,2754,2407,2657,3737,10130,11146,11938,12064,11680,4918,5555,5925,6200,6264,6148,2207,2233,2289,2318,2314,MDA,47.411631,28.369885,Moldova,,,,,
,,60,,772,854,1157,1211,962,2201,1024,1890,20247,45978,51282,27177,25118,23572,22278,16978,11871,8951,10921,8558,7348,6052,8847,8387,6045,11502,7234,5306,4756,4358,3934,3428,2807,2330,1918,1735,1199,1200,ROU,45.943161,24.96676,Romania,,,,,
60,50,50,,10821,11562,11569,11574,11577,11582,10226,8683,33636,68496,117736,155576,213802,243312,251393,207034,173723,198063,172730,28314,40310,45156,91626,96420,108100,103037,159382,93224,103061,109455,111948,109785,110588,74316,70562,67020,62759,61569,RUS,61.52401,105.318756,Russian Federation,,,,,
176410,169780,175110,176540,286651,277011,327951,321761,357111,376521,371911,353441,327539,319501,361322,431240,434736,450462,2257573,1819366,469136,68003,77743,88944,119056,84513,75257,75263,63804,100264,92966,80964,72530,129109,115524,106833,97373,83955,79408,286366,286073,258956,RWA,-1.940278,29.873888,Rwanda,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,31,2,2,4,4,7,9,12,15,23,28,49,46,KNA,17.357822,-62.782998,Saint Kitts and Nevis,,,,,
,,,,,,,,,,,,,,,,,,,2,2,3,5,9,11,9,10,16,34,99,163,227,288,314,334,433,566,710,922,1011,994,995,LCA,13.909444,-60.978893,Saint Lucia,,,,,
,,,,,,,,,,,,,,,,,,7,7,13,13,24,36,48,67,81,105,181,279,387,646,750,849,946,1127,1316,1535,1736,1823,1333,1301,VCT,13.2533835,-61.196251,Saint Vincent and the Grenadines,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,Saint-Pierre-et-Miquelon,,,,,
,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,3,2,4,,1,1,1,1,1,1,1,0,WSM,-13.759029,-172.104629,Samoa,,,,,
,,,,,,,,,,,,,,,,,,,,,2,4,4,4,,3,1,1,1,2,2,1,1,2,1,1,1,1,1,2,,SMR,43.94236,12.457777,San Marino,,,,,
,,,,,,,,,50,,,,,1,1,1,1,30,36,49,43,42,30,25,23,39,42,39,24,32,33,35,33,33,33,32,31,22,22,29,26,STP,0.18636,6.613081,Sao Tome and Principe,,,,,
,,,,,,,,,,,,,,,,,7,183,260,242,358,362,233,77,35,109,236,214,151,617,753,712,633,667,745,818,584,630,701,936,1169,SAU,23.885942,45.079162,Saudi Arabia,,,,,
,,,,,,,,,,,,5,15006,60006,25138,15466,22601,25622,17592,17631,17163,9716,11606,11088,8559,12069,8351,8332,8671,15163,15896,16006,16305,16267,17722,18724,19822,23118,21280,23061,26559,SEN,14.497401,-14.452362,Senegal,,,,,
,,4200,,270,214,177,157,91,91,72,42,99,98,1745,45823,90081,58253,54976,86120,103967,106654,115292,172509,146748,144231,327587,296632,237023,189989,174027,165643,185935,195626,183289,161671,158908,48725,45733,38628,36933,35072,SRB,44.016521,21.005859,Serbia and Kosovo,,,,,
,,,,,,,2,2,2,2,2,51,51,60,69,54,28,553,339,138,33,39,29,23,13,44,38,44,40,61,55,53,49,49,42,29,26,25,20,14,5,SYC,-4.679574,55.491977,Seychelles,,,,,
,,,,,,,,,,,,8,9,9,142614,253592,311183,275302,379495,375104,329327,406077,490061,402807,179113,141475,70580,41801,40477,42862,32127,32536,15417,11275,8002,6202,5311,4993,4904,4679,4436,SLE,8.460555,-11.779889,Sierra Leone,,,,,
,,,,,,,,,,,,8,3,,,1,1,9,9,19,22,23,25,22,16,39,35,36,39,111,116,109,80,76,67,68,65,59,55,41,43,SGP,1.352083,103.819836,Singapore,,,,,
,,,,,,,,,,,,,,,,,,12,26,57,70,143,178,220,191,595,667,619,791,741,342,331,334,158,269,239,323,319,326,794,913,SVK,48.669026,19.699024,Slovakia,,,,,
,,,,,,,,,,,,,,,,,28429,14829,12860,3368,3414,3302,3295,3284,765,858,610,582,155,1760,52,52,39,38,32,34,28,26,23,21,7,SVN,46.151241,14.995463,Slovenia,,,,,
,,,,,,,,,,,,,,,,,,,34,34,34,34,34,34,42,54,60,61,27,38,48,52,66,75,72,61,61,70,71,69,57,SLB,-9.64571,160.156194,Solomon Islands,,,,,
50,60,90,90,134,34,118,39,639,1830,3142,60162,351993,360309,470174,732594,797120,574617,631426,638698,636985,608094,557959,524613,475655,440134,432316,402336,389300,395553,464037,457356,561155,678309,770154,1077048,1136719,1121770,1106434,1123156,1012323,986356,SOM,5.152149,46.199616,Somalia,,,,,
2180,2395,3840,7280,24250,24900,28430,34520,38560,38110,33220,26151,24908,17137,14783,11206,9241,9094,1514,488,290,244,188,193,168,123,275,288,269,268,510,474,453,384,380,429,420,423,424,450,450,446,ZAF,-30.559482,22.937506,South Africa,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,87009,114470,616211,778718,1436719,2439868,,,,South Sudan,,,,,
510,,,,5,3,52,602,62,62,1,60,,,,,,,42,36,218,215,60,53,80,48,58,53,49,49,2444,41,27,34,42,43,52,56,60,59,35,34,ESP,40.463667,-3.74922,Spain,,,,,
,,,,,,,,,160,315,219,3390,7692,208271,209349,128115,91845,114456,107589,109578,122287,114976,116709,124160,122420,133239,122010,114053,108139,116966,134952,137752,145721,141074,136617,132731,123084,122010,121443,117479,115612,LKA,7.873054,80.771797,Sri Lanka,,,,,
,,,,8,29,32,32,1132,45534,42832,37032,36578,37195,38216,38059,34204,28591,27927,26139,23692,23334,7114,11814,6434,7161,14476,13861,13889,12287,11260,13170,14173,15866,16910,18172,19673,20202,27915,37416,48683,53342,,,,Stateless,,,,,
10600,10850,10850,10850,10852,5352,5352,31002,180062,180855,132759,253166,347310,438899,523998,196242,267767,393871,405135,445280,475305,364589,390013,485460,494363,489950,508877,606242,730641,693632,686311,523032,419248,368195,387288,500014,568943,648942,665967,627087,650640,694506,SDN,12.862807,30.217636,Sudan,,,,,
,,,,,,,,,,,,,6601,6620,5921,2545,893,915,817,754,663,491,411,334,237,103,70,51,29,66,63,50,45,25,20,15,17,17,19,18,17,SUR,3.919305,-56.027783,Suriname,,,,,
,,,,,,,,,,,,,,,,,1,13,15,17,20,30,28,16,15,19,5,14,13,22,25,32,32,36,43,65,109,161,220,229,221,SWZ,-26.522503,31.465866,Swaziland,,,,,
,,,,,,,,,,,,,,,,,,11,25,38,40,41,31,18,5,28,32,29,75,16,16,15,19,25,24,20,16,18,16,15,14,SWE,60.128161,18.643501,Sweden,,,,,
,,,,,,,,,,,,,,,,,,8,27,33,55,77,91,70,61,56,35,12,16,36,31,32,18,19,20,17,15,19,17,6,0,CHE,46.818188,8.227512,Switzerland,,,,,
,,,500,502,504,504,526,529,2599,534,20,881,397,2148,3037,4408,5404,7087,7994,8609,8653,8126,6695,5871,4869,18913,20819,21434,16401,12338,13690,15211,17914,18452,19931,729022,2468332,3887491,4873243,5524377,6308619,SYR,34.802075,38.996815,Syrian Arab Rep.,,,,,
,,,,,,,,,,,,,,,,60008,70108,57144,58956,107503,75878,56349,45167,59940,56108,63267,58936,56775,54753,645,894,544,562,577,612,674,662,725,794,925,1354,TJK,38.861034,71.276093,Tajikistan,,,,,
,,,,,,,,,,,,,2,20,30,35,36,137,211,284,272,295,318,217,94,344,296,319,424,3325,2325,1815,502,356,368,381,222,233,222,158,154,THA,15.870032,100.992541,Thailand,,,,,
,,,,,,,,,,,,,,,,,1897,347,12883,13041,12747,1939,2089,2176,12197,8107,5982,5104,8600,7940,8077,7521,7926,7889,7684,7589,1628,1759,1777,1738,1633,MKD,41.608635,21.745275,"Macedonia, FYR",,,,,
8300,8400,8500,8600,8700,8800,9800,10800,11800,12800,13800,14800,15800,16800,17800,18800,19800,21132,21164,20035,20037,20506,21229,21040,20968,20720,20631,20039,20040,20198,20184,20170,20079,20080,15082,15068,15000,15065,15069,15071,13534,13531,,,,Tibetan,,,,,
,,,,,,,,,,,,,,,,,,,,,,,162472,122202,73042,28097,127,221,251,251,6,7,7,8,8,9,10,13,20,22,8,TLS,-8.874217,125.727539,Timor-Leste,,,,,
,,,,,,,,1,5,5,5,5,6,6,18,106,291060,167871,93155,25593,7187,3506,3692,4016,4354,10448,10614,10818,51107,27332,22502,16750,18378,18330,17871,15693,10319,9276,8785,8310,8100,TGO,8.619543,0.824782,Togo,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2,2,3,1,8,12,5,4,6,5,7,5,6,10,13,18,22,24,27,34,TON,-21.178986,-175.198242,Tonga,,,,,
,,,,,,,,,,,,,,1,1,1,1,13,14,16,21,26,25,24,16,35,38,41,63,153,211,231,240,255,297,333,336,371,369,295,310,TTO,10.691803,-61.222503,Trinidad and Tobago,,,,,
,,,,2,2,2,5,6,6,6,6,7,9,42,63,86,104,212,333,406,698,932,1240,1207,1368,2543,2563,2516,3129,2844,2507,2349,2260,2174,1952,1935,1363,1485,1567,1700,1806,TUN,33.886917,9.537499,Tunisia,,,,,
,70,60,60,,,300,540,1040,810,852,1084,150,2764,5508,6452,10089,16768,28873,44866,50354,47341,45019,44012,47155,47090,193704,185098,174578,170567,227232,221939,214378,146387,146794,139779,135372,66575,63892,59558,57925,61338,TUR,38.963745,35.243322,Turkey,,,,,
,,,,,,,,,,,,,,,,,,7,47,2937,3181,1562,1051,300,310,801,840,812,820,692,678,736,743,738,726,723,519,484,455,377,340,TKM,38.969719,59.556278,Turkmenistan,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,14,14,15,15,14,16,14,TCA,21.694025,-71.797928,Turks and Caicos Islands,,,,,
,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,,3,2,2,,,1,1,2,2,2,2,,TUV,-10.7280717,179.4726562,Tuvalu,,,,,
3250,8000,8820,88710,224301,176691,271285,315346,293991,306060,238652,111071,21975,21358,58820,39386,32456,33415,31450,24166,28339,55241,13301,13937,32414,40141,40425,35247,31963,34225,21751,21341,7548,7554,6441,5680,5608,8176,7191,6316,6233,6369,UGA,1.373333,32.290275,Uganda,,,,,
,,,,,,,,,,,,,,,,38,134,915,1701,6107,6348,4596,12236,19312,26716,85265,94148,89587,84228,63723,25985,28424,24522,25111,25379,25256,5163,237625,321418,239075,139561,UKR,48.379433,31.16558,Ukraine,,,,,
,,,,,,,,,,,,,,,,,,,,,4,7,7,15,18,31,20,71,30,265,308,256,414,424,486,584,90,90,99,112,132,ARE,23.424076,53.847818,United Arab Emirates,,,,,
,,,,,,,,,,,,,,1,1,1,2,108,77,73,79,92,106,113,109,164,149,144,135,174,201,185,156,153,150,153,142,141,131,81,85,GBR,55.378051,-3.435973,United Kingdom,,,,,
90,300,300,600,301,3001,501,501,501,1,,2000,5,9,8,11,20,32,62,68,65,66,102,118,313,378,580,711,985,1549,1668,1255,1270,1204,1144,1163,1122,1040,858,820,594,630,TZA,-6.369028,34.888822,United Rep. of Tanzania,,,,,
,,,,,,,,,,,,,,1,8,10,12,366,245,143,75,51,41,176,219,383,395,451,683,1356,2174,2137,2368,3026,3778,4456,4760,4987,4832,310,285,USA,37.09024,-95.712891,United States of America,,,,,
1160,,,,24,24,525,25,165,537,47,39,32,202,842,601,429,162,362,262,201,89,74,39,51,46,61,57,81,111,164,197,199,188,186,184,171,147,124,91,27,7,URY,-32.522779,-55.765835,Uruguay,,,,,
,,,,,,,,,,,,,,,,,2,29060,143,69747,69069,51729,45533,3628,3458,6881,7391,7290,8323,9101,5663,6308,6669,8840,12664,11593,4952,4795,4206,3836,3380,UZB,41.377491,64.585262,Uzbekistan,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,0,VUT,-15.376706,166.959158,Vanuatu,,,,,
1869311,2060364,1704164,1730902,1424300,1647256,1691178,1826012,1567876,1720631,1749951,1767918,2240629,2428625,2562932,2241616,3114574,2239034,1803198,2166469,1412810,1065784,1070617,1236830,1119372,1099539,289766,320108,351199,187215,246951,194062,190692,186684,167117,145048,132807,107207,101141,120132,138786,202185,,,,Various/Unknown,,,,,
,,,,,,,,,,,,,,,1,4,135,371,476,557,608,570,556,471,466,526,598,1256,2590,3828,5094,5807,6221,6701,7577,8208,8395,8009,7454,7537,9247,VEN,6.42375,-66.58973,Venezuela (Bolivarian Republic of),,,,,
4000,9380,115010,395290,344428,312548,325343,328399,328095,326617,326668,325717,440379,456936,496029,498323,517111,527627,539101,543541,518340,476795,435437,405377,370758,353224,373741,363179,349803,358268,374279,327776,328183,339289,338698,337829,336939,314107,313418,313155,329351,334044,VNM,14.058324,108.277199,Viet Nam,,,,,
35000,50000,50000,50000,50000,165000,165000,165000,165000,165000,165000,165000,165000,167190,165000,165000,165000,165000,166493,165000,166328,166099,165967,165868,165810,165910,165884,165729,165731,90652,90614,116594,116530,116474,116415,116413,116452,116504,116482,116547,116649,116758,,,,Western Sahara,,,,,
,,15000,15000,15001,1,1,1,1,1,100001,70001,77001,77003,8,73,31,39,150,369,1154,1721,1935,2022,2113,1985,1600,1597,1606,1325,1362,1632,1777,1934,2076,2323,2594,2428,2631,15897,18452,23500,YEM,15.552727,48.516388,Yemen,,,,,
750,,,1000,1210,1200,1200,1200,,,,,1,1,1,1,1990,1574,16,20,40,63,77,87,98,62,92,100,124,151,204,196,195,206,228,240,243,232,316,344,265,250,ZMB,-13.133897,27.849332,Zambia,,,,,
31220,76520,163160,197640,160,190,,3200,3760,4250,3230,3830,627,3,4,128,9,17,42,36,34,38,42,43,109,257,4030,7162,9568,11251,12781,14374,16841,22449,24089,25048,22101,19734,22492,21344,18156,17390,ZWE,-19.015438,29.154857,Zimbabwe,,,,,
